PLOT,SITE,N.MIN,N.INORG,VWC.MEAN,VWC.SD,TEMP.MEAN,TEMP.SD,SOIL.PH,SOIL.C,SOIL.N,SOIL.CN
Plot_32,Site_22,0.8428716571097618,5.654916195901272,0.27521148253423755,0.017089385554446265,13.679643533886347,3.605522239312924,5.9,43.811499999999995,3.4539,12.684646341816496
Plot_33,Site_22,0.6936548505382832,5.8626090292977855,0.2658072532050962,0.014730066671284589,13.701400208066556,3.702798753518591,6.22,46.73550000000001,4.006950000000001,11.663609478531052
Plot_34,Site_22,0.7341485600413531,4.346923265968242,0.2611677181241869,0.0158635814200271,13.494584356866845,3.601972888142547,5.8,32.414500000000004,2.5156,12.885395134361586
Plot_35,Site_22,0.8262951754382917,7.483555210561791,0.2692511963925249,0.01765972248410873,13.437134622414357,3.1362423188503072,5.69,47.800000000000004,3.83845,12.452943245320379
Plot_36,Site_22,0.6795316103888243,6.224669283298116,0.26837569866925604,0.014808472529261424,13.647404209236553,3.465888101272043,5.63,40.92,3.4608,11.823855755894591
Plot_37,Site_24,0.7372831483711165,6.879143677805785,0.2820367922578846,0.023968640082944255,14.20649441699068,3.8294459482641527,4.79,25.455000000000002,1.75695,14.48817553146077
Plot_38,Site_24,0.9343798800583764,7.200396908280618,0.2910706066025752,0.015680815010230716,14.4242619980281,3.9435009503765297,4.75,23.5935,1.63635,14.41837015308461
Plot_39,Site_24,0.4695163120371465,3.7897526389202634,0.29447355117723567,0.013706581954966723,14.540838762140783,4.082789191383347,4.96,19.299,1.34615,14.336440961259889
Plot_40,Site_24,0.5267437266710145,3.6203026600516153,0.30596599812863057,0.020660931454690314,14.69153439353841,4.128992294416136,5.29,27.431,1.6420000000000001,16.705846528623628
Plot_41,Site_24,0.43327826158087424,3.865200786230609,0.28586212148582774,0.022591934644310627,14.324595696596655,3.972897432447636,5.65,23.8185,1.6465999999999998,14.465261751487915
Plot_42,Site_24,0.604500653132952,4.711187158989705,0.2915945998415912,0.02616900018946317,14.279874828047532,3.9234227882859742,5.28,23.346,1.70635,13.6818354968207
Plot_43,Site_31,0.26179966242387376,1.1937435287755223,0.26344878287150353,0.014322726050975258,14.605830387365154,3.169533627787413,3.88,34.114,1.18595,28.765125005270033
Plot_44,Site_31,0.2979839818649189,0.934232597879003,0.2621198434560709,0.013729391946949665,14.525348168613124,3.416199509198684,4.01,21.399999999999995,0.8052999999999999,26.573947597168754
Plot_45,Site_31,0.4054379676103518,2.848316699198968,0.2628285265598305,0.017147526786905478,14.466723641549269,3.372611954073315,3.93,25.604000000000003,0.96095,26.64446641344503
Plot_46,Site_31,0.27555035723725585,1.4479970932722774,0.2659603647173097,0.013919920843070047,14.666773815596859,3.247283921020896,3.9,25.176,0.9851999999999999,25.554202192448237
Plot_47,Site_31,0.20295991457920548,2.0295020505797634,0.2626729649512127,0.01713879014140452,14.671142132715133,3.383488738663251,3.9,27.940500000000004,1.0294500000000002,27.141191898586623
Plot_48,Site_31,0.25908267905165033,0.709086487818922,0.2583735455321359,0.014420120369301383,14.599679448386368,3.492671628010698,4.26,21.226000000000003,0.8892,23.870895186684663
Plot_49,Site_41,0.5675613773083399,3.2602229369875917,0.2446605975144585,0.02869233693382235,13.542641578357236,3.4009693597409343,3.94,11.467,0.7477,15.336364852213455
Plot_50,Site_41,0.47877549328569974,2.1415099033243488,0.23338464110248747,0.037944619231575105,13.600243269018904,3.486713536175929,4.06,17.290999999999997,1.02025,16.947806910071055
Plot_51,Site_41,0.7236105222416561,2.374219843254082,0.22747065067268943,0.0346234422401114,13.6068496649551,3.3900231496441378,4.3,12.239,0.79875,15.3226917057903
Plot_52,Site_41,0.6338622603473745,2.3856491548079344,0.24630228825356862,0.02874273334002082,13.393497377418562,3.2599220165940883,4.24,9.88995,0.62905,15.722041173197681
Plot_53,Site_41,0.38120091054743593,2.1245419446322216,0.283164963372213,0.036600651518661785,13.46479796455643,3.3745304540755003,3.87,11.320500000000001,0.6983999999999999,16.209192439862548
Plot_54,Site_41,0.6831307963322726,3.478769230795613,0.27824589014570633,0.03985515885095584,13.65234737935757,3.6425820202441552,4.29,14.334500000000002,0.9370999999999998,15.296659908227516
Plot_55,Site_50,0.34397994315837893,2.904672519957193,0.2436632209218153,0.03452139303931431,19.57196134997941,6.15744944038619,4.4,20.7705,0.85005,24.434445032645137
Plot_56,Site_50,0.18336954405086234,0.8720275770127107,0.2682737405562876,0.03720775426800568,15.555867887608084,3.8812661888934805,4.05,29.71,1.1572,25.67404078810923
Plot_57,Site_50,0.1462366841978405,0.24497937863395647,0.2858418648344485,0.05376324128359262,15.642127076864467,3.8649863778208604,3.67,59.468999999999994,1.7385499999999998,34.20609128296569
Plot_58,Site_50,0.24549673871586133,0.35914738278165037,0.266105756715645,0.038014897542720916,15.661470055571305,3.674074672827424,3.94,22.909,0.9019,25.4008204900765
Plot_59,Site_50,0.32673335992736174,0.11704891052128785,0.2581679832592166,0.030915118173307783,15.2691226009565,3.7297929192852917,3.93,24.35,0.9615000000000001,25.32501300052002
Plot_60,Site_50,0.1651718623516929,0.09320368044488092,0.24454662064245225,0.0337759784494475,15.558323031306314,3.8665645910099804,4.13,23.466,0.84495,27.772057518196345
Plot_61,Site_58,0.22628978322884735,0.99851303946782,0.2386480631547103,0.04607538518196944,15.200542378795062,3.238223755541327,4.2,18.791999999999998,0.8535000000000001,22.017574692442878
