Annotations/Genomes	Abscae1	Absrep1	Amyrou1	Bacci1	Benpoi1	Bifad1	Blatri1	Blatri_F921_1	Blatri_F986_2	Chabre1	Chlpad1	Chocucu1	Cirumb1	Cokrec1	Cunech1	Dicele1	Dicrob1	Ellano2	Endsp1	Fenlin1	FenlinCB54_1	Gilper1	Gonbut1	Halrad1	Helpul1	Hesve2finisherSC	Jimfl_AD_1	Jimfl_GMNB39_1	Jimlac1	Kircor1	Lenpar1	Lenzyc1	Liccor1	Lichy1	Licra1	Mucam1	Mucci2	Muccir1_3	Muccirc1	Mucend1	Mucfus1	Muclan1	Mucmuc1	Mucrac1	Mycafr1	Mycind1	Parpar1	Phaart1	Phybl2	PhyblU21_2	Phybl_L51_1	Phybla1	Pilano1	Pilumb1	PnitS607_1	PnitS608_1	PnitS609_1	Radspe1	Rhich1	Rhimi1_1	Rhimi_ATCC11559_1	Rhimi_ATCC52814_1	Rhior3	Rhisto1	Sakvas1	Spifus1	Spoumb1	Synrac1	Thaele1	Umban1	Umbelo1	Umbisa1	Umbra1	Umbsp_AD052_1	Zycmex1	Zyghet1	Annotation Description
GH13_8	1	1	2	3	1		1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	2		2	1	1	1	1			1	1					1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1	2	2		1	1	1	1	2	2	2	2	2	1	1	Glycoside Hydrolase Family 13 / Subf 8
GH13_25	1	1		2	1		1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1			1	1					1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 13 / Subf 25
GH13_40																																																																						1	2	1	2	1			Glycoside Hydrolase Family 13 / Subf 40
GH13_m42																							1																																															1	1		1	1			Glycoside Hydrolase Family 13
GH15	4	3	6	5	3		4	3	3	2	4	2	5	3	5	3	4	3	1	5	5	3	5	3	2	4	2	2	3	4	3	3	3	4			3	3					17		2	2	2	5	3	3	3	3	2	2	3	3	3	2	6	3	3	3	6	4		3	3	6	2	3	3	3	3	3	7	3	Glycoside Hydrolase Family 15
GH16	8	6	11	12	9		7	7	7	7	8	7	6	5	7	6	7	8	3	6	6	8	5	6	6	7	9	7	9	10	5	5	6	7			8	8					7		4	4	7	6	5	5	5	5	6	7	5	5	4	7	15	8	8	8	8	8		3	6	7	7	13	13	19	13	13	6	7	Glycoside Hydrolase Family 16
GH17	4	4	4	4	3		2	2	2	3	4	2	5	2	3	3	3	3		5	5	3	2	4	3	2	2	3	2	4	3	3	4	5			3	3					3		1	2	3	4	3	3	3	3	3	3	3	3	3	2	2	3	2	2	3	2		3	2	5	3	6	6	5	6	6	3	6	Glycoside Hydrolase Family 17
GH18	13	14	14	21	12		11	11	12	12	13	14	11	10	12	12	13	14	18	12	13	17	16	11	14	13	26	23	26	20	13	14	11	12			15	15					11		9	8	13	12	8	9	9	9	11	10	9	8	9	10	20	11	12	11	14	14		10	15	13	14	13	14	14	14	14	12	18	Glycoside Hydrolase Family 18
GH20	5	5	4	6	3		3	3	3	3	6	3	3	3	4	4	4	4	4	3	3	3	4	4	6	4	2	3	4	4	4	4	4	4			4	4					4		2	3	3	3	4	4	4	4	4	3	4	4	4	3	7	4	4	4	4	3		5	3	3	6	8	10	7	8	7	3	4	Glycoside Hydrolase Family 20
GH24	1	1																	1				2	1		1	1	1																																										2	1	2	2	2			Glycoside Hydrolase Family 24
GH25	2	2									1		4		2	1	1			5	3		2	1		1	1	1	1				1	1														4	1	1	1	1			1	1	1											1		2	2	1	2	2	2		Glycoside Hydrolase Family 25
GH27	5	5	2	3	1			1	1	1	5	1	3	1	1	3	3	1	2	3	3	1	3	3	1	2	2	1	9	2			2	3			1	1					1		1	1	1	3	1	2	2	2	1	1	2	2	2	2	2	1	1	1	2	2		1	2	3	1	5	6	6	5	4	3		Glycoside Hydrolase Family 27
GH28			18	5			6	6	5			5	6		1		2	2	1	6	6	2	2		6		7	8	3				3	5			2	2					7					8	10	9	9	9	2		8	8	8		7	7	6	7	18	20				8	5	3	4	3	3	3	6	6	Glycoside Hydrolase Family 28
GH29	2	2		2	2		1	1	1	2	2	1	1	1	2	2	2	2		1	1	1	2	3	2	2				2	2	2	1	2			2	2					2		2	2	2	1					1					2										2	2	2	2	2	2	2	1	2	Glycoside Hydrolase Family 29
GH30																												1																																																	Glycoside Hydrolase Family 30
GH30_7																												1																																																	Glycoside Hydrolase Family 30 / Subf 7
GH31	3	3	3	9	5		5	5	5	4	3	5	7	3	4	7	6	6	7	8	9	6	5	3	5	6	2	8	4	6	3	3	5	5			5	5					5		3	3	4	9	3	3	3	3	5	4	3	3	3	2	7	3	3	3	3	3		2	2	7	5	7	8	8	7	7	7	8	Glycoside Hydrolase Family 31
GH32		1		1											1								1	1										2															1	1	1	1			1	1	1													2	2	1	2	2			Glycoside Hydrolase Family 32
GH35	1	1	1	1	1		1	1	1	1	1	1	4	1	2	3	2	1	1	5	5	1	7	2	1	1	2	3	2	1	1	1	2	2			1	1					1		1	1	1	4	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1		1	1	3	1	6	6	4	6	6	6	1	Glycoside Hydrolase Family 35
GH36	6	4	6	5	4		4	4	4	4	6	4	5	4	2	5	5	4	1	4	4	4	3	4	5	3	1	1	2	5	3	3	3	4			4	4					6		4	4	4	5	3	3	4	4	6	3	3	3	3	4	7	4	4	4	4	5		3	5	2	4	2	1	2	2	3	4	5	Glycoside Hydrolase Family 36
GH37	6	6	5	5	5		4	4	4	4	6	4	5	5	4	6	6	5	2	5	5	4	4	4	5	4	1	3	2	5	4	3	5	5			5	5					5		4	4	5	5	4	4	4	4	4	3	4	4	3	5	6	3	3	3	5	4		3	4	4	5	4	4	3	4	4	4	6	Glycoside Hydrolase Family 37
GH38	3	2	2	2	2		2	2	2	3	4	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	4	5	9	2	2	2	3	2			2	2					2		2	2	2	2	2	2	2	2	2	1	2	2	2	1	5	2	2	2	2	2		2	2	2	2	2	4	2	2	2	2	2	Glycoside Hydrolase Family 38
GH42																											1																																																		Glycoside Hydrolase Family 42
GH43			2	1			1	1	1				4			1	2		2	3	3		1				2	4	1				2	3														4															2	1			1	3		1	1	2	1	1	5		Glycoside Hydrolase Family 43
GH45			5	2	1		3	3	3	1		3	2	1		2	2	1	1	3	4	3	1		2		1	1	2	2			1	1				1					3			1	1	2	1	1	1	1	2	1	1	1	1		9	5	5	4	5	4			1	1	2	3	2	2	2	3	2	3	Glycoside Hydrolase Family 45
GH46	2	4	2	2	2		2	2	1	2	2	2	1	2	1	1	1	2	2	2	2	2	1	1	2	1	5	4	3	4	2	2	3	2			2	2					2		2	2	2	2	1	1	1	1	3	1	1	1	1	1	4	2	2	2	2	1			1	2	2	2	2	2	2	2	2	2	Glycoside Hydrolase Family 46
GH47	5	6	10	11	7		8	8	8	6	5	8	5	7	5	7	8	9	3	7	7	7	4	4	9	4	7	10	14	13	4	5	6	6			7	8					9		6	7	7	5	7	7	7	7	8	6	6	7	7	7	12	7	8	8	11	11		4	9	7	8	6	6	6	6	6	6	10	Glycoside Hydrolase Family 47
GH48																																																																						1	1		1	1			Glycoside Hydrolase Family 48
GH51													2				1			2	2		1										2	2														2	1	1	1	1			1	1	1											3		1	1	1	1	1	3		Glycoside Hydrolase Family 51
GH52																																																																						1	1	1	1	1			Glycoside Hydrolase Family 52
GH53																			1				1	1																																														1	1	1	1	1			Glycoside Hydrolase Family 53
GH55	1	1									1				1								2	1		2																																												3	4	3	3	3			Glycoside Hydrolase Family 55
GH62																							2																																																						Glycoside Hydrolase Family 62
GH63	1	1	1	3	1		1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1		2	1	1	1	1	1			1	1					1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1		1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 63
GH65																																																																						1	1	1	1	1			Glycoside Hydrolase Family 65
GH67																																																																							1	1					Glycoside Hydrolase Family 67
GH71																			1								2		4																																									1	1	3	1	1			Glycoside Hydrolase Family 71
GH72	3	2	1	1	1		1	1	1	1	3	1	1	1	3	2	2	1	1	1	1	1	2	2	1	3	1	1	1	1	2	2	2	2			1	1					1		1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	1	1	1	2	2		1	2	1	1	2	2	2	2	2	1	1	Glycoside Hydrolase Family 72
GH74																											1		4																																									1	1		1	1			Glycoside Hydrolase Family 74
GH76																																																																								1					Glycoside Hydrolase Family 76
GH78																				1	1																																																	1	1	4	1	1	1		Glycoside Hydrolase Family 78
GH79													1						1	1	1												1	1														1																						5	4	5	4	3	1		Glycoside Hydrolase Family 79
GH81	1	2	2	3	2		1	1		1	1	1	2	1	2	1	2	1	1	1	1	1	3	1	2	1	2	2	4	1	1	1	1	2			1	1					1		1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1		1	3	1	1	3	4	2	2	2	1	2	Glycoside Hydrolase Family 81
GH85	1	1	1	1	1		1	1	1	1	1	1		1	1			1				1	1	1	1			1	1	1							1	1					1		2	1	1						1	1				1					1						1	1	1	1	1	1		1	Glycoside Hydrolase Family 85
GH88															1								1			1	1	1	2					1																																				3	5	2	4	3			Glycoside Hydrolase Family 88
GH89																											1																																													1					Glycoside Hydrolase Family 89
GH92																			1								1	1	3																																									3	3	3	3	3			Glycoside Hydrolase Family 92
GH93																																																																						1	1	2	1	1			Glycoside Hydrolase Family 93
GH95																											1	1	1																																									3	2	1	2	1			Glycoside Hydrolase Family 95
GH105				1									1			1	1			1	1												3	1														1																				1		1	1	1	1	1	1		Glycoside Hydrolase Family 105
GH125	2	2	2	2	2		2	3	3	2	2	2	1	2	2	1	1	2	1	3	2	2	2	3	3	2	1	2	1	2	2	2	1	1			2	2					2		2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2		1	3	1	2	2	2	3	2	2	1	3	Glycoside Hydrolase Family 125
GH130																																																																							1						Glycoside Hydrolase Family 130
GH133	1	1	1	2	1		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1			1	1					1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 133
GH134			11								11				2			2				3			1												3	3					3										2						5	5	4	4	9	7					1							5	Glycoside Hydrolase Family 134
GH136																							1																																																	2					Glycoside Hydrolase Family 136
GH151																			1								1	2																																																	Glycoside Hydrolase Family 151
GH152	7		6		4		1	3	2	4		3					3	5	1		19	1		4	5		3	3	3		4	4						5					4			3				5	5	5												5			3			4	3	3		4			Glycoside Hydrolase Family 152
GH154																							1			1																																												2	5	3	2	2			Glycoside Hydrolase Family 154
GT109																																																																						1							GlycosylTransferase Family 109
GT	142	151	145	205	138		127	128	131	123	135	126	125	125	112	128	128	143	84	126	125	125	114	118	139	114	102	96	101	205	111	111	142	136			144	145					129		118	125	132	125	111	115	117	112	132	117	115	114	113	124	221	121	117	119	140	149		98	119	115	134	117	114	117	117	112	130	152	Glycosyl Transferase family
GT1	11	10	15	27	12		13	12	12	8	10	12	6	8	7	4	4	15	6	4	4	9	7	8	15	6	5	8	9	26	8	8	10	10			15	14					15		10	11	11	6	6	6	6	6	9	7	6	7	7	6	19	12	9	11	15	12		6	7	4	14	8	7	9	8	8	10	14	GlycosylTransferase Family 1
GT2	42	40	34	43	25		27	26	27	29	41	29	29	26	28	32	32	29	17	29	29	28	26	28	30	26	20	17	20	44	30	30	30	30			30	29					27		23	23	29	29	29	29	30	29	30	24	28	29	30	28	52	28	27	27	34	35		27	31	27	29	27	28	27	27	24	28	31	GlycosylTransferase Family 2
