Annotations/Genomes	Acain1	Cerbo1	Cersp1	Exomac1	Exova1	Hethyg1	Jamsp1	Kalbr1	Malgl1	Malpa1	Malsy1_1	Malve1	Meimi1	Melen1	Moean1	Moeaph1	Monili2	Psean1_1	Psefl1	Psehu1	Rhanym2_1	Rhodsp1	Spore1	Tescy1	Tilalb1	Tilan2	Tilca1	Tilcar1	Tilco1	Tilin1	Tillet1	Tilwa1	Tilwal1	Uroocc1	Uropr1	Ustbr1	Ustgig1	Usthor1	Ustma2_2	Ustsp1	Annotation Description
GH39							1						1			3		3		2												2		1							Glycoside Hydrolase Family 39
GH42	1		1	1			1						1	1		1		1		1			1	1	1	1						1					1		1		Glycoside Hydrolase Family 42
GH43	2		7	10	5	2	4		1		1		7	1		7	1	8		3	3	3	3	5	4	4					7	3			3		8		4	4	Glycoside Hydrolase Family 43
GH45	2		1	2		1							1	2		3	1	4		4	1		4	3	1	1					4	1		3	3		4		4	2	Glycoside Hydrolase Family 45
GH47	5		4	7	5	4	4		3		3		5	3		3	3	3		3	4	4	3	4	3	2					4	4		2	3		3		3	3	Glycoside Hydrolase Family 47
GH51	2		1		1		2						2	1		2		3		3	2	1	3	3	1	1					1	1		1	1		4		2	3	Glycoside Hydrolase Family 51
GH53	2			5	2																														2						Glycoside Hydrolase Family 53
GH54													1			1		1		1			1																		Glycoside Hydrolase Family 54
GH55	1		1				2		3		1			1		1	1	1		1		2	1		1						1			1	1		1		1		Glycoside Hydrolase Family 55
GH62																1		1		1			1											1					1		Glycoside Hydrolase Family 62
GH63	1		1	1	1	1			1		1		1	1		1	1	1		1	1		1	1	1	1					1	1			1		1		1	1	Glycoside Hydrolase Family 63
GH65			1		1	1							1								1				1	1					1	1								1	Glycoside Hydrolase Family 65
GH71																															2										Glycoside Hydrolase Family 71
GH72	1		1				1							1		1		1		1			1	1	1							1			1		1		1	1	Glycoside Hydrolase Family 72
GH76																1		1		1			1								1			1					1		Glycoside Hydrolase Family 76
GH78																1		2		1	1																				Glycoside Hydrolase Family 78
GH79	3		2	5	3	2	2						4	1		2	8	2		1	2	1	1	1	1	3					1	1		1	1		1		1	2	Glycoside Hydrolase Family 79
GH85									1					1		1	1	1		1			1		1	1					1				1		1		1	1	Glycoside Hydrolase Family 85
GH88																1	1	1																							Glycoside Hydrolase Family 88
GH92	4		2	1	1	3	1						2	2		3		3		3	3	1	3	1	4	2					5	3		2	4		3		3	3	Glycoside Hydrolase Family 92
GH93	1			1	1								3			1		1		1	1			2								1		1			2			1	Glycoside Hydrolase Family 93
GH95													2																												Glycoside Hydrolase Family 95
GH97													1																												Glycoside Hydrolase Family 97
GH105																1		1		1			1														1		1	1	Glycoside Hydrolase Family 105
GH114	1			1			1						2																												Glycoside Hydrolase Family 114
GH115	1															1		1		1			1											1					1		Glycoside Hydrolase Family 115
GH125	1			1	1											1		1		1	1		1		1	1					1			1			1		1	1	Glycoside Hydrolase Family 125
GH127					1		2									1		1		1		1										1									Glycoside Hydrolase Family 127
GH128	3		5	7	4	4	4		2		2		7	4		5	8	5		5	3	4	5	4	5	4					7	3		4	4		5		5	4	Glycoside Hydrolase Family 128
GH133	1		1	1	1	1	1						1				1	1		1	1	1	1	1	1	1					1	1			1		1		1	1	Glycoside Hydrolase Family 133
GH135																							1									3							1		Glycoside Hydrolase Family 135
