Annotations/Genomes	Agahy1	Atrsp2	Chiap1	Chicu1	Croqu1	Eryha1	Hetpy1	Hyabl1	Leucr1	MecolCla_1	Melame1	Melap1finSC_191	Melli1	Melli2_A	Melli2_B	Mellp2_3	Melme_tre1	Melmed1	Mereb1	Micin1	Micld1	Mixos1	Naifl1	Naose1	ObeP2C70	Pgt_201_A1	Pgt_201_B1	Pgt_Ug99_A1	Pgt_Ug99_C1	Phapa1	PhapaK8108	Phlfa1	PpacPPUFV02	PuccoNC29_1	PuccoSD80_1	Pucgr2	Pucso1	Pucst1	Pucst_PST78	Pucst_PST78_1	Pucstr1	Puctr1	Puctri1	RhoCCFEE5036_1	Rhoba1_1	Rhodia1_1	RhodotJ31_1	Rhoglu1	Rhoglu91_1	Rhomi1	Rhomuc1	Rhosp1	Rhota1	Rhoto1	Rhoto_ATCC26217_1	Rhoto_IFO0559_1	Rhoto_IFO0880_2	Rhoto_IFO0880_4	Rhoto_IFO1236_1	Sepsp1	Slopil1	Slotsu1	Spogra1_1	Spoli1	Spopa1	Sporo1	Trisp1	Annotation Description
GH5_12	2	3	2	2	2	2	2	2	2	3	5	6	1			3	5	3	2		3	2	2	2	2	5	3	3	2	2	2	2	2	2	3	2		1		4	4	5			2	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	1	2	3	2	2	3	Glycoside Hydrolase Family 5 / Subf 12
GH5_15	2	5	2	1	3				2	5	1	3	3			2	4	4	5					1	3	2	2	2	2			5		4	4	2		4		4	8	2																		2	2	3	2	2	3	1		Glycoside Hydrolase Family 5 / Subf 15
GH5_22						1			1																																																						1					Glycoside Hydrolase Family 5 / Subf 22
GH5_27																								1	1							1																												1	2		1	1				Glycoside Hydrolase Family 5 / Subf 27
GH5_31																			1																																																	Glycoside Hydrolase Family 5 / Subf 31
GH5_50					1	2				2		1	2			1	1	1					1	1																																							1					Glycoside Hydrolase Family 5 / Subf 50
GH5_51		1																																																																		Glycoside Hydrolase Family 5 / Subf 51
GH5_dist	2	4	1	2	5	3	4	5	2	16	6	11	7			9	10	7	2		4	1	8	5	3	7	7	7	7	5	5	6	6	9	7	9		8		6	12	6			3		2	2	2	1	2	2		1	1	1	2	2	3	3	2	1	1	2	2	2	1	Glycoside Hydrolase Family 5
GH6																																1																																				Glycoside Hydrolase Family 6
GH7					7					19	12	9	7			8	20	19							1	9	13	11	7	8	6	1	5	7	4	8		8		11	13	6																										Glycoside Hydrolase Family 7
GH8																																																																2				Glycoside Hydrolase Family 8
GH9		2	1	1	2	1				2	1	1	1			1	1	1					4	2								1																		1													1	2			1	Glycoside Hydrolase Family 9
GH10		3			6					11	6	7	4			5	6	5								6	5	6	7	5	7	2	7	5	4	5		4		5	8	4																										Glycoside Hydrolase Family 10
GH11																																1																																				Glycoside Hydrolase Family 11
GH12					9				1	19	9	6	2			9	16	12	2			12	2			3	3	2	2	3	4	1	3	4	4	3		2		2	6	2																			1	1						Glycoside Hydrolase Family 12
